N	time(ms)	result
1000	1	511
26000	235	16383
51000	862	32767
76000	1923	65535
101000	3335	65535
126000	5168	65535
151000	7426	131071
176000	10072	131071
201000	13132	131071
226000	16555	131071
251000	20284	131071
276000	24477	262143
301000	28979	262143
326000	34110	262143
351000	39533	262143
376000	45424	262143
401000	51585	262143
426000	58083	262143
451000	65406	262143
476000	73272	262143
501000	81290	262143
526000	89481	524287
551000	98453	524287
576000	107695	524287
601000	117100	524287
626000	126907	524287
651000	137186	524287
676000	148311	524287
701000	159559	524287
726000	171245	524287
751000	182974	524287
776000	195159	524287
801000	207732	524287
826000	221314	524287
851000	234877	524287
876000	249300	524287
901000	263648	524287
926000	279240	524287
951000	294479	524287
976000	310222	524287
