N	time(ms)	result
1000	0	977
11000	0	5617
21000	1	9233
31000	2	29233
41000	4	16465
51000	4	36465
61000	6	56465
71000	7	10929
81000	7	30929
91000	10	50929
101000	13	70929
111000	12	90929
121000	12	110929
131000	15	130929
141000	16	19857
151000	18	39857
161000	19	59857
171000	23	79857
181000	22	99857
191000	22	119857
201000	26	139857
211000	24	159857
221000	33	179857
231000	28	199857
241000	31	219857
251000	33	239857
261000	33	259857
271000	38	17713
281000	34	37713
291000	44	57713
301000	35	77713
311000	41	97713
321000	45	117713
331000	47	137713
341000	47	157713
351000	43	177713
361000	47	197713
371000	56	217713
381000	57	237713
391000	51	257713
401000	47	277713
411000	51	297713
421000	56	317713
431000	51	337713
441000	55	357713
451000	67	377713
461000	69	397713
471000	60	417713
481000	64	437713
491000	73	457713
501000	61	477713
511000	67	497713
521000	63	517713
531000	80	13425
541000	76	33425
551000	71	53425
561000	80	73425
571000	70	93425
581000	75	113425
591000	72	133425
601000	71	153425
611000	84	173425
621000	84	193425
631000	75	213425
641000	88	233425
651000	83	253425
661000	89	273425
671000	86	293425
681000	87	313425
691000	82	333425
701000	89	353425
711000	103	373425
721000	94	393425
731000	93	413425
741000	110	433425
751000	108	453425
761000	104	473425
771000	96	493425
781000	100	513425
791000	100	533425
801000	102	553425
811000	126	573425
821000	117	593425
831000	113	613425
841000	125	633425
851000	106	653425
861000	130	673425
871000	131	693425
881000	121	713425
891000	132	733425
901000	127	753425
911000	112	773425
921000	128	793425
931000	146	813425
941000	116	833425
951000	142	853425
961000	120	873425
971000	131	893425
981000	120	913425
991000	134	933425
